id,sb_id,name,reference,type,submethod,description,uses_feature_score,uses_composite_score,feature_groups,created_by,updated_by,created_at,updated_at,deleted_at,display_help,help_url
30,61,Blankenship et al 2007,JFS 52(2):428-433,Age,"",Age estimation of African American populations by scoring third molar development,true,false,,System,System,2018-04-29 18:35:21,2019-12-27 05:09:03,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/methods/#blankenship-ja-mincer-hh-anderson-km-woods-ma-burton-el-2007
35,61,Buikstra and Ubelaker 1994,Standards for Data Collection from Human Skeletal Remains.  Arkansas Archaeological Survey Research Series No. 44,Sex,"",Sex estimation by scoring skeletal morphology,true,false,,System,System,2018-04-29 18:35:21,2019-12-27 05:09:03,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/methods/#buikstra-je-ubelaker-dh-1994
38,61,Edgar 2013,JFS 58:S3-S8,Ancestry,"","Ancestry estimation based on dental morphology (African, Hispanic, European)",true,false,,System,System,2018-04-29 18:35:21,2019-12-27 05:09:03,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/methods/#edgar-hjh-2013
47,61,Kasper et al 2009,JFS 54(3):651-657,Age,"",Age estimation of Hispanic populations by scoring third molar development,true,false,,System,System,2018-04-29 18:35:21,2019-12-27 05:09:03,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/methods/#kasper-ka-austin-d-kvanli-ah-rios-tr-senn-dr-2009
129,61,Mincer et al 1993,JFS 38:379-390,Age,"",Age estimation of White males by scoring third molar development,true,false,,System,System,2018-04-29 18:35:21,2019-12-27 05:09:03,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/methods/#mincer-hh-harris-ef-berryman-he-1993
195,61,Schaefer et al 2009,Juvenile Osteology.  Elsevier.,Age,"",Age estimation based on various skeletal morphology,true,false,,System,System,2018-04-29 18:35:21,2018-04-29 18:35:21,2018-12-03 02:07:21,,
297,61,Walker 2008,AJPA 136:39-50,Sex,"",Sex estimation by scoring cranial morphology,true,false,,System,System,2018-04-29 18:35:21,2019-12-27 05:09:03,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/methods/#walker-pl-2008
196,62,Schaefer et al 2009,Juvenile Osteology.  Elsevier.,Age,"",Age estimation based on various skeletal morphology,true,false,,System,System,2018-04-29 18:35:21,2018-04-29 18:35:21,2018-12-03 02:07:21,,
31,63,Blankenship et al 2007,JFS 52(2):428-433,Age,"","",false,false,,System,System,2018-04-29 18:35:21,2019-12-27 05:09:03,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/methods/#blankenship-ja-mincer-hh-anderson-km-woods-ma-burton-el-2007
46,63,Kasper et al 2009,JFS 54(3):651-657,Age,"",Age estimation of Hispanic populations by scoring third molar development,true,false,,System,System,2018-04-29 18:35:21,2019-12-27 05:09:03,,,https://cora-docs.readthedocs.io/en/latest/forensics-anthro-guide/methods/#kasper-ka-austin-d-kvanli-ah-rios-tr-senn-dr-2009
