se_id,measurement_id,org_id,project_id,measure,created_by,updated_by,created_at,updated_at,deleted_at
1258,46,2,2,12.37,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1258,47,2,2,18.97,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1264,179,2,2,25.25,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1264,180,2,2,24.5,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1264,181,2,2,19.17,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1264,182,2,2,20.1,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1265,101,2,2,212,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1265,102,2,2,161,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1265,105,2,2,62.49,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1265,114,2,2,24.27,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1265,115,2,2,38.28,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1265,116,2,2,12.1,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1265,117,2,2,56.59,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1266,101,2,2,215,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1266,102,2,2,165,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1266,105,2,2,64.27,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1266,115,2,2,34.86,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1266,116,2,2,13.57,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1266,117,2,2,57.63,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1267,96,2,2,117.27,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1267,97,2,2,107.06,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1267,98,2,2,46.67,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1267,100,2,2,120,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1268,1,2,2,183,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1268,3,2,2,146,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1268,4,2,2,134,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1268,5,2,2,134,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1268,6,2,2,105,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1268,7,2,2,96,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1268,9,2,2,50,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1268,10,2,2,134,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1268,11,2,2,80,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1268,12,2,2,98,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1268,13,2,2,108,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1268,18,2,2,40,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1268,19,2,2,36,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1268,20,2,2,100,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1268,21,2,2,21,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1259,50,2,2,29.54,Brittany Walter,Brittany Walter,2018-04-29 18:52:32,2019-01-09 21:03:27,
1259,51,2,2,38.6,Brittany Walter,Brittany Walter,2018-04-29 18:52:32,2019-01-09 21:03:27,
1259,52,2,2,47.23,Brittany Walter,Brittany Walter,2018-04-29 18:52:32,2019-01-09 21:03:27,
1263,50,2,2,29.03,Brianna Petersen,Brianna Petersen,2018-04-29 18:52:32,2019-01-09 22:10:19,
1263,51,2,2,40.5,Brianna Petersen,Brianna Petersen,2018-04-29 18:52:32,2019-01-09 22:10:19,
1263,52,2,2,50.58,Brianna Petersen,Brianna Petersen,2018-04-29 18:52:32,2019-01-09 22:10:19,
1268,22,2,2,114,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1268,23,2,2,115,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1268,24,2,2,94.5,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1268,26,2,2,33,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1268,27,2,2,30,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1269,53,2,2,348,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
